时间,商品名称,库存变化,单笔销量
2026-05-08 11:29:27,beatroad,-10,10
2026-05-08 12:04:07,beatroad,-10 -> -15,5
2026-05-08 12:33:37,beatroad,-15 -> -16,1
2026-05-08 12:46:27,beatroad,-16 -> -17,1
2026-05-08 13:16:07,beatroad,-17 -> -18,1
2026-05-08 13:32:58,beatroad,-18 -> -19,1
2026-05-08 13:45:26,beatroad,-19 -> -22,3
2026-05-08 14:56:03,beatroad,-22 -> -27,5
2026-05-08 14:56:26,beatroad,-27 -> -51,24
2026-05-08 15:34:55,beatroad,-51 -> -56,5
2026-05-08 15:50:01,beatroad,-56 -> -58,2
2026-05-08 16:24:43,beatroad,-58 -> -61,3
2026-05-08 17:03:59,beatroad,-61 -> -63,2
2026-05-08 17:26:47,beatroad,-63 -> -67,4
2026-05-08 19:50:47,beatroad,-67 -> -78,11
2026-05-08 21:46:21,beatroad,-78 -> -79,1
2026-05-08 22:11:14,beatroad,-79 -> -85,6
2026-05-08 23:33:59,beatroad,-85 -> -86,1
2026-05-08 23:55:20,beatroad,-86 -> -87,1
